wiek	naukaLata	edukacja	plec	wiaraZyciePo	szczescie	jakieZycie	fortunaEndPraca	gazetyCzesto	ogladaTVGodz	korzystaWWW	zodiak	dochod	ileGodzPracuje
66	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	2	Tak	Wodnik	$40000 TO 49999	2
69	15	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Ryby	$60000 TO 74999	2
53	13	Szkola srednia	Kobieta	Tak	Nieszczesliwy	Nudne	Tak	NA	NA	Nie	Wodnik	$17500 TO 19999	6
45	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	2	Tak	Lew	$60000 TO 74999	8
75	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Nie	Koziorozec	$10000 TO 12499	1
69	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	10	Nie	Waga	NA	1
64	19	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	Codziennie	1	Tak	Panna	NA	8
48	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	4	Tak	Byk	$50000 TO 59999	6
62	8	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Nie	Ryby	$12500 TO 14999	1
49	11	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Nigdy	5	Nie	Bliznieta	NA	8
74	13	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	NA	Codziennie	8	Nie	Ryby	$8 000 TO 9 999	2
49	15	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Koziorozec	$110000 OR OVER	11
77	13	Policealna	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Kilka razy w tygodniu	2	Nie	Baran	$40000 TO 49999	1
28	15	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Nie	Codziennie	1	Nie	Bliznieta	$75000 TO $89999	8
46	13	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	NA	NA	NA	Tak	Rak	$90000 - $109999	6
48	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Tak	Skorpion	$60000 TO 74999	9
78	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Nie	Wodnik	$25000 TO 29999	1
83	14	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	6	Nie	Lew	$15000 TO 17499	0
33	16	Licencjat	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Strzelec	$60000 TO 74999	11
53	17	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	1	Tak	Baran	$60000 TO 74999	9
50	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Ryby	$110000 OR OVER	12
54	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Waga	$35000 TO 39999	8
44	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Kilka razy w tygodniu	4	Tak	NA	$30000 TO 34999	6
21	13	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	1	Tak	Strzelec	$50000 TO 59999	8
21	11	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Koziorozec	NA	8
34	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Codziennie	4	Nie	Bliznieta	$17500 TO 19999	8
68	14	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	NA	NA	Nigdy	5	Nie	Panna	UNDER $1 000	1
27	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Nie	Skorpion	NA	5
47	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	1	Nie	NA	NA	8
30	11	Szkola srednia	Kobieta	Tak	Nieszczesliwy	Nudne	Tak	NA	NA	Nie	Ryby	$30000 TO 34999	4
55	12	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	NA	Codziennie	4	Nie	Skorpion	$12500 TO 14999	7
76	11	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	Nudne	NA	NA	NA	Nie	Rak	$10000 TO 12499	3
78	12	Szkola srednia	Kobieta	Tak	Nieszczesliwy	Ekscytujace	NA	Codziennie	6	Nie	Waga	NA	5
65	15	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	NA	NA	NA	Tak	Byk	$10000 TO 12499	5
19	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	5	Tak	Lew	UNDER $1 000	8
38	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	Codziennie	2	Tak	Baran	$50000 TO 59999	12
NA	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	3	Nie	NA	NA	8
44	14	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	Codziennie	1	Nie	Byk	$60000 TO 74999	9
64	10	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	Rutynowe	NA	Kilka razy w tygodniu	6	Nie	Wodnik	$15000 TO 17499	5
57	15	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Lew	$90000 - $109999	9
62	16	Licencjat	Mezczyzna	Nie	Bardzo szczesliwy	Rutynowe	NA	NA	NA	Tak	Ryby	$40000 TO 49999	11
66	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Bliznieta	$30000 TO 34999	2
71	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	Mniej niz raz w tygodniu	4	Nie	NA	$25000 TO 29999	1
50	18	Magisterium	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	0	Tak	Ryby	$60000 TO 74999	13
36	12	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	3	Nie	Wodnik	$22500 TO 24999	7
43	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Codziennie	3	Tak	Panna	$90000 - $109999	6
84	12	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Nie	Panna	$22500 TO 24999	0
71	15	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Nie	Baran	$12500 TO 14999	1
44	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Codziennie	1	Tak	Rak	NA	10
74	12	Szkola srednia	Kobieta	Tak	Nieszczesliwy	NA	NA	Codziennie	2	Nie	Bliznieta	$30000 TO 34999	3
63	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Nie	Byk	$75000 TO $89999	11
30	14	Policealna	Kobieta	Tak	Nieszczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	1	Tak	Waga	$75000 TO $89999	12
36	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Nigdy	1	Nie	Rak	$75000 TO $89999	8
42	15	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Waga	NA	4
53	20	Magisterium	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Mniej niz raz w tygodniu	6	Tak	Wodnik	$110000 OR OVER	6
45	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	Codziennie	4	Tak	NA	$40000 TO 49999	7
NA	17	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	3	Tak	NA	$90000 - $109999	7
22	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	Kilka razy w tygodniu	8	Tak	Panna	$25000 TO 29999	6
70	16	Licencjat	Mezczyzna	Nie	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Lew	$40000 TO 49999	1
24	11	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	Mniej niz raz w tygodniu	3	Nie	Skorpion	$12500 TO 14999	8
NA	12	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	3	Tak	NA	$4 000 TO 4 999	8
68	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Lew	$8 000 TO 9 999	1
48	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	Nigdy	7	Nie	Lew	$12500 TO 14999	7
55	15	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Nigdy	4	Nie	NA	UNDER $1 000	7
45	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Panna	$110000 OR OVER	0
28	18	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Strzelec	$110000 OR OVER	10
NA	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	Tak	Nigdy	5	Nie	NA	NA	7
57	14	Policealna	Kobieta	Tak	Nieszczesliwy	NA	NA	Mniej niz raz w tygodniu	6	Tak	Ryby	$40000 TO 49999	4
35	10	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Nie	Wodnik	$10000 TO 12499	11
45	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	Raz w tygodniu	5	Tak	Rak	$40000 TO 49999	8
40	14	Policealna	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	2	Nie	NA	NA	9
37	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Codziennie	2	Tak	Koziorozec	$110000 OR OVER	8
40	12	Szkola zawodowa	Kobieta	Tak	Nieszczesliwy	Ekscytujace	Nie	NA	NA	Nie	Baran	$30000 TO 34999	9
57	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	4	Nie	Strzelec	$110000 OR OVER	7
82	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Nie	NA	$60000 TO 74999	0
89	2	Szkola zawodowa	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Nie	Wodnik	$25000 TO 29999	0
24	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Mniej niz raz w tygodniu	6	Tak	Koziorozec	$50000 TO 59999	6
25	12	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Nie	Baran	$50000 TO 59999	12
32	13	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Koziorozec	$110000 OR OVER	5
23	14	Policealna	Kobieta	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	6	Tak	Waga	$50000 TO 59999	5
24	11	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	3	Tak	Bliznieta	$50000 TO 59999	7
50	14	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Kilka razy w tygodniu	7	Nie	Lew	$10000 TO 12499	6
54	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	1	Tak	Panna	$12500 TO 14999	13
28	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Rak	$50000 TO 59999	3
39	12	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	3	Nie	Rak	$75000 TO $89999	8
42	14	Policealna	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Codziennie	1	Nie	Strzelec	$110000 OR OVER	10
53	14	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	Ekscytujace	Tak	Codziennie	4	Tak	Skorpion	$17500 TO 19999	7
25	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	5	Tak	Bliznieta	$12500 TO 14999	8
32	15	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	NA	NA	NA	Tak	Wodnik	$20000 TO 22499	8
35	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Nudne	NA	Kilka razy w tygodniu	6	Tak	Skorpion	$17500 TO 19999	5
26	16	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Nie	Rak	$7 000 TO 7 999	10
24	11	Szkola zawodowa	Mezczyzna	Nie	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Ryby	$3 000 TO 3 999	0
23	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	1	Tak	Skorpion	$60000 TO 74999	12
56	18	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Waga	$110000 OR OVER	10
62	11	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Tak	Lew	$110000 OR OVER	4
43	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	1	Tak	Strzelec	$90000 - $109999	12
33	20	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Wodnik	$110000 OR OVER	11
40	19	Magisterium	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Rak	$60000 TO 74999	8
43	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Waga	$50000 TO 59999	5
48	6	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	3	Nie	Ryby	$75000 TO $89999	6
42	14	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Baran	$50000 TO 59999	6
76	15	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Baran	$22500 TO 24999	1
32	12	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Bliznieta	$110000 OR OVER	11
63	18	Magisterium	Kobieta	Tak	Nieszczesliwy	Ekscytujace	Nie	NA	NA	Tak	Wodnik	$110000 OR OVER	9
70	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Baran	$35000 TO 39999	2
66	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Tak	Strzelec	$40000 TO 49999	2
23	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Kilka razy w tygodniu	3	Tak	Koziorozec	$35000 TO 39999	8
48	18	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Panna	$110000 OR OVER	11
44	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	Codziennie	4	Nie	Koziorozec	$35000 TO 39999	7
27	16	Licencjat	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Strzelec	$75000 TO $89999	13
72	16	Licencjat	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Nie	Koziorozec	$30000 TO 34999	3
76	14	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	NA	Codziennie	2	Nie	Ryby	NA	1
68	18	Magisterium	Kobieta	Nie	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Wodnik	$110000 OR OVER	2
75	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	8	Nie	Koziorozec	$40000 TO 49999	3
51	17	Magisterium	Kobieta	Nie	Bardzo szczesliwy	NA	NA	Codziennie	1	Tak	Panna	$110000 OR OVER	11
30	18	Licencjat	Kobieta	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	3	Tak	Byk	$50000 TO 59999	8
38	16	Licencjat	Mezczyzna	Nie	Nieszczesliwy	Rutynowe	Nie	NA	NA	Tak	Panna	$35000 TO 39999	3
27	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Raz w tygodniu	1	Nie	Skorpion	$50000 TO 59999	12
40	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Byk	$75000 TO $89999	8
19	12	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Codziennie	5	Tak	Waga	$22500 TO 24999	8
26	15	Szkola srednia	Kobieta	Nie	Bardzo szczesliwy	Rutynowe	Nie	Codziennie	1	Tak	Baran	$90000 - $109999	11
23	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	1	Tak	Bliznieta	$110000 OR OVER	13
56	16	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Tak	Wodnik	UNDER $1 000	9
35	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Nigdy	3	Nie	Panna	$50000 TO 59999	7
33	16	Licencjat	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Panna	$110000 OR OVER	10
37	20	Magisterium	Mezczyzna	Nie	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	1	Tak	Panna	$110000 OR OVER	11
65	19	Magisterium	Kobieta	Nie	Dosc szczesliwy	NA	NA	Codziennie	1	Nie	Ryby	$110000 OR OVER	11
45	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Bliznieta	$110000 OR OVER	5
32	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	2	Tak	Waga	$75000 TO $89999	9
52	5	Szkola zawodowa	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Nigdy	1	Nie	Rak	$40000 TO 49999	10
24	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	1	Tak	Lew	$20000 TO 22499	13
30	17	Licencjat	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Koziorozec	$25000 TO 29999	2
49	9	Szkola zawodowa	Mezczyzna	Nie	Nieszczesliwy	Ekscytujace	Tak	NA	NA	Nie	Bliznieta	$30000 TO 34999	0
26	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	Mniej niz raz w tygodniu	1	Tak	Rak	$25000 TO 29999	10
51	2	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	NA	Nigdy	6	Nie	Byk	NA	5
59	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Koziorozec	$90000 - $109999	2
40	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Codziennie	2	Tak	Waga	$110000 OR OVER	8
47	14	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Tak	Codziennie	4	Tak	Baran	$110000 OR OVER	8
44	17	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Rak	$110000 OR OVER	5
75	17	Magisterium	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Raz w tygodniu	2	Tak	Strzelec	$40000 TO 49999	3
87	18	Magisterium	Kobieta	Nie	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Panna	$50000 TO 59999	0
46	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	4	Tak	Strzelec	$110000 OR OVER	6
57	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	Codziennie	3	Tak	Ryby	$25000 TO 29999	6
66	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	Codziennie	3	Tak	Strzelec	$30000 TO 34999	2
23	12	Szkola srednia	Mezczyzna	Nie	Bardzo szczesliwy	NA	NA	Nigdy	2	Tak	Lew	NA	11
32	16	Magisterium	Kobieta	Tak	Nieszczesliwy	NA	NA	Nigdy	1	Tak	Byk	$40000 TO 49999	11
46	15	Magisterium	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Ryby	$50000 TO 59999	10
46	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	4	Tak	Byk	$40000 TO 49999	8
32	12	Szkola srednia	Kobieta	Nie	Bardzo szczesliwy	NA	NA	Nigdy	0	Tak	Wodnik	NA	12
67	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Tak	Baran	$25000 TO 29999	2
84	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	4	Tak	Koziorozec	$25000 TO 29999	0
43	13	Szkola zawodowa	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	NA	Nigdy	5	Nie	Panna	$20000 TO 22499	7
38	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	Tak	NA	NA	Nie	Ryby	$25000 TO 29999	4
49	12	Szkola srednia	Mezczyzna	Nie	Nieszczesliwy	Nudne	Nie	Codziennie	2	Nie	Byk	$22500 TO 24999	9
26	13	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Nie	Rak	$60000 TO 74999	9
54	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	Raz w tygodniu	2	Tak	Byk	$50000 TO 59999	8
27	14	Policealna	Kobieta	Tak	Dosc szczesliwy	Nudne	Nie	NA	NA	Tak	Lew	$75000 TO $89999	9
45	20	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Kilka razy w tygodniu	2	Tak	Panna	$50000 TO 59999	10
22	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	4	Tak	Skorpion	$20000 TO 22499	7
32	12	Szkola zawodowa	Kobieta	Tak	Nieszczesliwy	Nudne	Tak	NA	NA	Tak	Bliznieta	$40000 TO 49999	5
35	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	2	Tak	Baran	$60000 TO 74999	10
32	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Byk	$60000 TO 74999	10
31	17	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Lew	$40000 TO 49999	3
33	14	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	Raz w tygodniu	2	Nie	Wodnik	UNDER $1 000	10
24	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Nigdy	1	Tak	Wodnik	$25000 TO 29999	8
30	15	Policealna	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	Kilka razy w tygodniu	3	Tak	Strzelec	$35000 TO 39999	7
42	16	Licencjat	Mezczyzna	Nie	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Lew	$50000 TO 59999	4
40	16	Licencjat	Kobieta	Nie	Dosc szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	2	Tak	Koziorozec	$50000 TO 59999	12
